antecedents_str,consequents_str,support,confidence,lift
"petal width (cm)_Medium, sepal length (cm)_Medium, target_versicolor",petal length (cm)_Medium,0.22,0.9428571428571428,2.619047619047619
petal length (cm)_Medium,"petal width (cm)_Medium, sepal length (cm)_Medium, target_versicolor",0.22,0.6111111111111112,2.619047619047619
"petal length (cm)_Medium, sepal length (cm)_Medium",target_versicolor,0.22666666666666666,0.8717948717948717,2.6153846153846154
target_versicolor,"petal length (cm)_Medium, sepal length (cm)_Medium",0.22666666666666666,0.68,2.6153846153846154
"petal width (cm)_Medium, sepal width (cm)_Low",target_versicolor,0.18,0.8709677419354839,2.612903225806452
"petal width (cm)_High, sepal length (cm)_Medium",petal length (cm)_High,0.16,0.7999999999999999,2.608695652173913
"petal length (cm)_Medium, sepal width (cm)_Low",target_versicolor,0.17333333333333334,0.8666666666666667,2.6
"petal length (cm)_Medium, sepal length (cm)_Medium","petal width (cm)_Medium, target_versicolor",0.22,0.8461538461538461,2.5902668759811616
"petal width (cm)_Medium, target_versicolor","petal length (cm)_Medium, sepal length (cm)_Medium",0.22,0.673469387755102,2.5902668759811616
"petal length (cm)_Low, sepal width (cm)_Medium, target_setosa",sepal length (cm)_Low,0.24,1.0,2.5423728813559325
"petal length (cm)_Low, sepal width (cm)_Medium",sepal length (cm)_Low,0.24,1.0,2.5423728813559325
"petal width (cm)_Low, sepal width (cm)_Medium, target_setosa",sepal length (cm)_Low,0.24,1.0,2.5423728813559325
"petal width (cm)_Low, sepal width (cm)_Medium",sepal length (cm)_Low,0.24,1.0,2.5423728813559325
"sepal width (cm)_Medium, target_setosa",sepal length (cm)_Low,0.24,1.0,2.5423728813559325
"petal length (cm)_Low, petal width (cm)_Low, sepal width (cm)_Medium, target_setosa",sepal length (cm)_Low,0.24,1.0,2.5423728813559325
"petal length (cm)_Low, petal width (cm)_Low, sepal width (cm)_Medium",sepal length (cm)_Low,0.24,1.0,2.5423728813559325
sepal length (cm)_Low,"petal length (cm)_Low, sepal width (cm)_Medium, target_setosa",0.24,0.6101694915254238,2.5423728813559325
sepal length (cm)_Low,"petal length (cm)_Low, sepal width (cm)_Medium",0.24,0.6101694915254238,2.5423728813559325
sepal length (cm)_Low,"petal width (cm)_Low, sepal width (cm)_Medium, target_setosa",0.24,0.6101694915254238,2.5423728813559325
sepal length (cm)_Low,"petal width (cm)_Low, sepal width (cm)_Medium",0.24,0.6101694915254238,2.5423728813559325
sepal length (cm)_Low,"sepal width (cm)_Medium, target_setosa",0.24,0.6101694915254238,2.5423728813559325
sepal length (cm)_Low,"petal length (cm)_Low, petal width (cm)_Low, sepal width (cm)_Medium, target_setosa",0.24,0.6101694915254238,2.5423728813559325
sepal length (cm)_Low,"petal length (cm)_Low, petal width (cm)_Low, sepal width (cm)_Medium",0.24,0.6101694915254238,2.5423728813559325
"petal length (cm)_Medium, sepal width (cm)_Low",petal width (cm)_Medium,0.18,0.8999999999999999,2.5
petal width (cm)_Medium,petal length (cm)_Medium,0.32,0.888888888888889,2.469135802469136
petal length (cm)_Medium,petal width (cm)_Medium,0.32,0.888888888888889,2.469135802469136
"petal width (cm)_Medium, sepal width (cm)_Low",petal length (cm)_Medium,0.18,0.8709677419354839,2.4193548387096775
petal length (cm)_Medium,"petal width (cm)_Medium, sepal length (cm)_Medium",0.22,0.6111111111111112,2.412280701754386
"petal width (cm)_Medium, sepal length (cm)_Medium",petal length (cm)_Medium,0.22,0.8684210526315789,2.4122807017543857
"petal length (cm)_Low, petal width (cm)_Low, target_setosa",sepal length (cm)_Low,0.31333333333333335,0.9400000000000001,2.3898305084745766
"petal length (cm)_Low, target_setosa",sepal length (cm)_Low,0.31333333333333335,0.9400000000000001,2.3898305084745766
"petal length (cm)_Low, petal width (cm)_Low",sepal length (cm)_Low,0.31333333333333335,0.9400000000000001,2.3898305084745766
petal width (cm)_Low,sepal length (cm)_Low,0.31333333333333335,0.9400000000000001,2.3898305084745766
"petal width (cm)_Low, target_setosa",sepal length (cm)_Low,0.31333333333333335,0.9400000000000001,2.3898305084745766
petal length (cm)_Low,sepal length (cm)_Low,0.31333333333333335,0.9400000000000001,2.3898305084745766
target_setosa,sepal length (cm)_Low,0.31333333333333335,0.9400000000000001,2.3898305084745766
sepal length (cm)_Low,"petal length (cm)_Low, petal width (cm)_Low, target_setosa",0.31333333333333335,0.7966101694915255,2.3898305084745766
sepal length (cm)_Low,"petal length (cm)_Low, target_setosa",0.31333333333333335,0.7966101694915255,2.3898305084745766
sepal length (cm)_Low,"petal length (cm)_Low, petal width (cm)_Low",0.31333333333333335,0.7966101694915255,2.3898305084745766
sepal length (cm)_Low,petal width (cm)_Low,0.31333333333333335,0.7966101694915255,2.3898305084745766
sepal length (cm)_Low,"petal width (cm)_Low, target_setosa",0.31333333333333335,0.7966101694915255,2.3898305084745766
sepal length (cm)_Low,petal length (cm)_Low,0.31333333333333335,0.7966101694915255,2.3898305084745766
sepal length (cm)_Low,target_setosa,0.31333333333333335,0.7966101694915255,2.3898305084745766
"petal length (cm)_Medium, sepal length (cm)_Medium",petal width (cm)_Medium,0.22,0.8461538461538461,2.3504273504273505
petal width (cm)_Medium,"petal length (cm)_Medium, sepal length (cm)_Medium",0.22,0.6111111111111112,2.3504273504273505
sepal width (cm)_Low,petal width (cm)_Medium,0.20666666666666667,0.6595744680851063,1.8321513002364065
sepal width (cm)_Low,petal length (cm)_Medium,0.2,0.6382978723404256,1.773049645390071
petal length (cm)_Medium,sepal length (cm)_Medium,0.26,0.7222222222222223,1.5258215962441317
